restaurant_name,review_text
Bambou,"Came here after seeing it recommended online and the reality matched the expectation perfectly. Several dishes arrived at different times, leaving one of our party waiting while the other ate. Worth trying once, though we are not certain we would return."
Bambou,The teppanyaki show was entertaining and the food was just as impressive. The char siu arrived with a lacquered glaze and beautifully caramelised edges. There was a lovely energy in the room - other diners clearly as happy as we were.
Bambou,The teppanyaki show was entertaining and the food was just as impressive. The teppanyaki vegetables were cooked over high heat and retained a wonderful bite. One of the standout meals of our trip - possibly the best.
Bambou,"The ramen broth had clearly been simmering for hours - rich, deep and wonderful. Our waiter disappeared for long stretches and refills were never offered proactively. Worth trying once, though we are not certain we would return."
Bambou,"Disappointing visit - the flavours lacked depth and the dishes felt rushed. The ramen broth had clearly been made from a concentrate rather than proper stock. We were made to feel hurried throughout the meal, particularly toward the end. We have given this place multiple chances now and the result is always the same."
Bambou,Best Asian food we have had outside of Paris and honestly it rivals Paris too. The char siu arrived with a lacquered glaze and beautifully caramelised edges. What struck us most was the consistency - every component of every dish was at the same high standard.
Bambou,"We were a group of six and everyone around the table was delighted with their dishes. The bill contained items we had not ordered and required a lengthy discussion to resolve. Worth trying once, though we are not certain we would return."
Bambou,"We shared several dishes and every single one was a highlight. The set menu offered very poor value given the size of the portions. Not a disappointment exactly, just not the revelation we hoped it would be."
Bambou,"There was a lovely energy in the room - other diners clearly as happy as we were. Finally, a place in Lyon that does dim sum properly. Every piece of nigiri was perfectly seasoned, the fish cut at exactly the right thickness."
Bambou,"The room has real warmth to it - a combination of the lighting, the décor and the noise level. We were craving something different from the usual bouchon fare and this delivered brilliantly. The bao buns were pillowy and the slow-braised filling was rich and deeply savoury."
Bambou,We tried several dishes and struggled to find one that genuinely impressed us. The table we were given was too close to the kitchen and the noise was intrusive. The stir fry tasted flat - insufficient heat in the wok and too much soy sauce.
Bambou,The teppanyaki show was entertaining and the food was just as impressive. The sommelier recommended an expensive wine that did not suit the food at all. Some genuinely good moments but enough to give us pause before booking again.
Bambou,"Rare to find this level of authenticity in a French city - hugely impressive. The laksa was the real deal - coconut-rich broth with perfectly cooked noodles. Wines by the glass were of an excellent standard and the list had been curated with thought. We left full, happy and already planning our return."
Bambou,The sushi was impeccably fresh and the chef clearly takes sourcing seriously. The pacing of the meal was exactly right - unhurried but never dragging. The char siu arrived with a lacquered glaze and beautifully caramelised edges.
Bambou,Came here after seeing it recommended online and the reality matched the expectation perfectly. The ramen broth had depth that only comes from a proper twelve-hour bone stock. The kitchen showed real understanding of flavour balance across every course.
Bambou,"Elegant interior, thoughtful service and food that made us slow down and savour every bite. Several dishes arrived at different times, leaving one of our party waiting while the other ate. Not a disappointment exactly, just not the revelation we hoped it would be."
Bambou,"A friend who grew up in Asia said this reminded her of home, which says everything. The sommelier recommended an expensive wine that did not suit the food at all. Three stars feels right - solid, reliable, but not exceptional."
Bambou,The flavours here are authentic and bold - a lovely change of pace in Lyon. The spring rolls shattered when bitten and the filling was fragrant and light. The pacing of the meal was exactly right - unhurried but never dragging. Exactly what a great restaurant should be. Cannot wait to go back.
Bambou,"A friend who grew up in Asia said this reminded her of home, which says everything. The room was noisy to the point where conversation became genuinely difficult. We would come back but would lower our expectations from those set by the reviews."
Bambou,Lyon is not short on great food but this brings something entirely different to the table. The kitchen showed real understanding of flavour balance across every course. Everything about it was right. A true gem of the Lyon dining scene.
Bambou,"Service was slow and inattentive even though the restaurant was not particularly busy. Basic errors - wrong dishes, forgotten items - suggest training issues in the front of house. The bao bun dough had not proved properly and was dense rather than pillowy."
Bambou,Our waiter was enthusiastic about the menu and his suggestions turned out to be excellent. Walked in without a reservation on a Tuesday and they found us a table quickly. The spring rolls shattered when bitten and the filling was fragrant and light.
